;Acurácia;Num_VP;VP_rate;Num_VN;VN_rate;Num_FP;FP_rate;Num_FN;FN_rate;ACC2;Sensibilidade;Especificidade;MG;Precisão;F1
Média;74,29907321762157;149,06;91,44785276073613;40817,22;74,24822643431442;14156,78;25,7517735656856;13,94;8,552147239263801;74,29907321762157;91,44785276073613;74,24822643431442;82,39752272837431;1,0429993824774513;2,062448894270751
Desvio Padrão;0,8939076718137936;0,8900813996254409;0,5460622083591669;493,5623232569272;0,8978104617763433;493,5623232569272;0,8978104617763437;0,8900813996254409;0,5460622083591662;0,8939076718137936;0,5460622083591669;0,8978104617763433;0,3460208042133917;0,03119310685387;0,0608958139308889
Máximo;76,00159602444819;150,0;92,0245398773006;41758,0;75,95954451195111;15129,0;27,52028231527631;16,0;9,8159509202454;76,00159602444819;92,0245398773006;75,95954451195111;83,2800079333084;1,110862595988966;2,195050088391279
Mínimo;72,53749750621179;147,0;90,1840490797546;39845,0;72,47971768472368;13216,0;24,04045548804889;13,0;7,975460122699387;72,53749750621179;90,1840490797546;72,47971768472368;81,66953330571532;0,98173964264677;1,9427535293355784
Mediana;74,4373106988048;149,0;91,41104294478528;40893,0;74,38607341652417;14081,0;25,613926583475823;14,0;8,588957055214724;74,4373106988048;91,41104294478528;74,38607341652417;82,40239995287497;1,047769990590707;2,071713278456458
